COUNTY,ST_ABBR,avg(median_sale_price_yoy),avg(homes_sold_mom),avg(median_sale_price_mom),avg(homes_sold_yoy),avgHomesSoldTotal,avgMedianSalesTotal,avgHomesSoldTotalScaled,avgMedianSalesTotalScaled
Quitman County,GA,0.824576374,0.25,0.420330755,0.130952381,0.19047619,0.622453565,0.054143921,7.96E-04
Calhoun County,IL,0.821936869,0.282730159,0.972098958,0.35768254,0.320206349,0.897017913,0.064316755,9.49E-04
Hancock County,GA,0.821097082,0.42386626,0.306109259,0.493399621,0.45863294,0.56360317,0.075171522,7.63E-04
Casey County,KY,0.816044203,0.350326297,0.524214642,0.413742967,0.382034632,0.670129422,0.06916504,8.22E-04
Coosa County,AL,0.814062385,0.315721952,0.794145384,0.379625013,0.347673482,0.804103884,0.066470599,8.97E-04
Towner County,ND,0.813212054,0.520833333,0.520199812,0.416666667,0.46875,0.666705933,0.075964855,8.20E-04
Benton County,MS,0.813055296,0.272274436,0.751321294,0.361967419,0.317120927,0.782188295,0.06407481,8.85E-04
Cavalier County,ND,0.812216437,0.467948718,0.312386487,0.520512821,0.494230769,0.562301462,0.077962938,7.62E-04
Linn County,MO,0.811723475,0.349219042,0.131359125,0.478493934,0.413856488,0.4715413,0.071660361,7.11E-04
Brunswick County,VA,0.807839861,0.283041001,0.491803667,0.521553279,0.40229714,0.649821764,0.070753931,8.11E-04
Cloud County,KS,0.802794976,0.3825,0.562282407,0.635833333,0.509166667,0.682538691,0.079134141,8.29E-04
Lucas County,IA,0.802350913,0.416500959,0.549493142,0.405882609,0.411191784,0.675922028,0.071451408,8.26E-04
Mitchell County,KS,0.800718564,0.088095238,0.239313816,0.321428571,0.204761905,0.52001619,0.05526414,7.39E-04
Woodruff County,AR,0.796578678,0.239316239,0.491604714,0.288461538,0.263888889,0.644091696,0.059900602,8.08E-04
Hall County,TX,0.793700158,0.265151515,0.138967052,0.310606061,0.287878788,0.466333605,0.061781778,7.09E-04
Covington County,AL,0.792054766,0.221936018,0.6759456,1.052570053,0.637253036,0.734000183,0.089178076,8.58E-04
Shannon County,MO,0.790896507,0.23221187,0.633332668,0.467270531,0.349741201,0.712114588,0.06663274,8.46E-04
San Juan County,NM,0.790751174,0.139381085,0.355233047,4.951470488,2.545425787,0.572992111,0.238808079,7.68E-04
Thayer County,NE,0.789334737,-0.222222222,0.187265636,0.055555556,-0.083333333,0.488300186,0.032673056,7.21E-04
Hickman County,KY,0.78474927,0.434238095,0.418025874,0.458095238,0.446166667,0.601387572,0.074193975,7.84E-04
Latimer County,OK,0.784633492,0.296906797,0.922359169,0.295919821,0.296413309,0.85349633,0.062451015,9.25E-04
Blaine County,OK,0.783037431,0.45026455,0.153029629,0.49382716,0.472045855,0.46803353,0.0762233,7.10E-04
Tunica County,MS,0.776304265,0.213815789,0.45737405,0.233552632,0.223684211,0.616839157,0.056747939,7.93E-04
Richmond County,VA,0.776004981,0.298393182,0.549849276,0.538440021,0.418416602,0.662927129,0.072017944,8.18E-04
Schuyler County,MO,0.774999779,0.232142857,0.336415258,0.261904762,0.24702381,0.555707518,0.058578121,7.58E-04
Pecos County,TX,0.77480228,0.047101449,0.026122577,0.29057971,0.16884058,0.400462428,0.052447357,6.72E-04
Marion County,KY,0.77284297,0.451195767,0.583614232,0.616698413,0.53394709,0.678228601,0.081077306,8.27E-04
Washington County,MS,0.772617757,0.140913149,0.035004393,1.242026458,0.691469803,0.403811075,0.093429502,6.74E-04
Clark County,SD,0.772493503,0.106481481,0.341101807,0.424074074,0.265277778,0.556797655,0.060009512,7.59E-04
Jeff Davis County,GA,0.772493206,0.808823529,0.350272818,0.588235294,0.698529412,0.561383012,0.093983084,7.62E-04
Cass County,IL,0.77023484,0.201099972,0.280857593,0.289111668,0.24510582,0.525546217,0.058427722,7.42E-04
Montgomery County,GA,0.770043434,0.174603175,0.154788353,0.174603175,0.174603175,0.462415894,0.052899233,7.06E-04
Surry County,VA,0.769035627,0.371546979,1.064939199,0.402326549,0.386936764,0.916987413,0.069549442,9.60E-04
Piute County,UT,0.766304531,0.111111111,0.576439716,0.111111111,0.111111111,0.671372124,0.047920482,8.23E-04
Gallatin County,IL,0.766140577,0.394736842,0.68967417,0.26622807,0.330482456,0.727907374,0.065122559,8.55E-04
Sunflower County,MS,0.766046942,0.705128205,0.344258199,0.778846154,0.741987179,0.55515257,0.097390839,7.58E-04
Duval County,TX,0.762055528,0.263157895,0.764004127,0.254385965,0.25877193,0.763029827,0.059499354,8.74E-04
Columbia County,FL,0.761452532,0.287020687,0.514441023,3.178719921,1.732870304,0.637946777,0.17509127,8.04E-04
Baca County,CO,0.758801823,0.166666667,-0.290124031,0,0.083333333,0.234338896,0.045742278,5.79E-04
Pulaski County,IL,0.757122602,0.238372093,0.449001163,0.343023256,0.290697674,0.603061883,0.062002822,7.85E-04
Claiborne Parish,LA,0.756863684,0.298494398,0.554420998,0.701015406,0.499754902,0.655642341,0.078396114,8.14E-04
Danville,VA,0.753851303,0.211053643,0.459847301,2.824429787,1.517741715,0.606849302,0.15822189,7.87E-04
Wolfe County,KY,0.752409488,0.114912281,1.254190567,0.497076023,0.305994152,1.003300028,0.0632023,0.001008308
Keweenaw County,MI,0.752243662,0.36365719,0.802234218,0.262092947,0.312875069,0.77723894,0.06374187,8.82E-04
Real County,TX,0.7503297,0.337613982,0.540033769,0.426899696,0.382256839,0.645181734,0.069182464,8.08E-04
Highland County,VA,0.743255695,0.460379464,0.347485667,0.371279762,0.415829613,0.545370681,0.071815085,7.53E-04
Wayne County,NE,0.739487293,0.166666667,0.457756126,0.5,0.333333333,0.598621709,0.065346111,7.82E-04
Coal County,OK,0.736916474,0.438034188,0.811541262,0.496581197,0.467307692,0.774228868,0.075851756,8.80E-04
Elk County,PA,0.735163838,0.263301731,0.684820358,2.326086957,1.294694344,0.709992098,0.140731556,8.45E-04
McCook County,SD,0.734040761,0.371013868,0.514937782,0.426449067,0.398731468,0.624489272,0.070474328,7.97E-04
Scioto County,OH,0.73137885,0.227288188,0.338964405,0.508601319,0.367944754,0.535171627,0.068060178,7.47E-04
Marshall County,MN,0.730675968,0.427488202,0.361196397,0.514864865,0.471176534,0.545936183,0.076155132,7.53E-04
Concho County,TX,0.72305708,0.050980392,0.243759895,0.119607843,0.085294118,0.483408488,0.045896034,7.18E-04
Sargent County,ND,0.722095828,0.180555556,0.974584423,0.25,0.215277778,0.848340126,0.056088746,9.22E-04
Floyd County,KY,0.720601935,0.122612993,0.296271844,1.004307708,0.56346035,0.50843689,0.083391598,7.32E-04
Pittsylvania County,VA,0.717723332,0.208731357,0.293734892,0.684047561,0.446389459,0.505729112,0.074211445,7.31E-04
Scott County,IL,0.717661678,0.310397627,0.48678953,0.335946769,0.323172198,0.602225604,0.064549323,7.84E-04
Catahoula Parish,LA,0.717171717,0,-0.209302326,0,0,0.253934696,0.039207667,5.90E-04
Athens County,OH,0.716717177,0.476102122,0.402068063,1.472639939,0.97437103,0.55939262,0.115613296,7.61E-04
Douglas County,SD,0.715814461,-0.125,0.366504973,0.125,0,0.541159717,0.039207667,7.50E-04
Lake County,OR,0.712477728,0.184444444,0.507057032,0.158333333,0.171388889,0.60976738,0.052647184,7.89E-04
Washington County,KY,0.710327508,0.197305556,0.545969774,0.428416667,0.312861111,0.628148641,0.063740775,7.99E-04
Richland County,IL,0.709921737,0.267365079,0.430258888,0.504730159,0.386047619,0.570090313,0.06947972,7.66E-04
Brown County,KS,0.709123024,0.318177428,0.234727624,0.665772329,0.491974878,0.471925324,0.077786041,7.12E-04
Daviess County,MO,0.706454978,0.330829362,0.481861364,0.387234069,0.359031716,0.594158171,0.067361259,7.80E-04
Deuel County,SD,0.704406663,0.410538549,0.446796087,0.303594104,0.357066327,0.575601375,0.067207142,7.70E-04
Jackson Parish,LA,0.703983036,0.277521716,0.731997531,0.673496873,0.475509295,0.717990283,0.076494887,8.49E-04
Sedgwick County,CO,0.70386775,0.418803419,0.616816253,0.346153846,0.382478632,0.660342001,0.069199856,8.17E-04
Cleveland County,NC,0.703426953,0.241576424,0.132002087,3.534403282,1.887989853,0.41771452,0.187255021,6.81E-04
Telfair County,GA,0.700347384,0.362885679,0.272101238,0.501578384,0.432232031,0.486224311,0.073101286,7.20E-04
Johnson County,GA,0.693396062,0.120277778,0.423760454,0.283333333,0.201805556,0.558578258,0.055032317,7.60E-04
Washington County,AL,0.689109355,0.00210084,0.11286808,0.385994398,0.194047619,0.400988717,0.054423976,6.72E-04
Crenshaw County,AL,0.688422418,0.321014493,0.587623908,0.33442029,0.327717391,0.638023163,0.064905735,8.04E-04
Walthall County,MS,0.6872908,0.254127655,0.440295361,0.727775261,0.490951458,0.563793081,0.077705789,7.63E-04
Clay County,KY,0.686592139,0.323159341,0.672908618,0.376288156,0.349723748,0.679750379,0.066631371,8.28E-04
Cleveland County,AR,0.681194654,0.350268817,1.025110081,0.400537634,0.375403226,0.853152367,0.068645036,9.24E-04
Wayne County,TN,0.674177124,0.344755224,0.59223841,0.511414676,0.42808495,0.633207767,0.072776091,8.02E-04
Judith Basin County,MT,0.672839581,0.0625,0.320390623,0.25,0.15625,0.496615102,0.051460063,7.25E-04
Johnston County,OK,0.672582681,0.328388278,0.764630557,0.310302198,0.319345238,0.718606619,0.06424923,8.49E-04
Southampton County,VA,0.671865104,0.180810623,0.329497008,0.779748463,0.480279543,0.500681056,0.076868948,7.28E-04
Hyde County,NC,0.670694023,0.341796322,0.296604561,0.490990885,0.416393604,0.483649292,0.07185931,7.18E-04
Nemaha County,KS,0.667295607,0.286458333,0.233793104,0.5484375,0.417447917,0.450544355,0.071941985,7.00E-04
Faulk County,SD,0.666666667,0,-0.183566434,0,0,0.241550117,0.039207667,5.83E-04
Costilla County,CO,0.666103316,0.305071643,0.257557152,0.512626544,0.408849094,0.461830234,0.071267705,7.06E-04
Grant County,WV,0.665582967,0.270456486,0.203688968,0.305205258,0.287830872,0.434635967,0.061778021,6.91E-04
Barnwell County,SC,0.661464272,0.269890765,0.456292641,0.377258581,0.323574673,0.558878456,0.064580883,7.60E-04
Oliver County,ND,0.660998328,1.25,0.309125909,1.583333333,1.416666667,0.485062118,0.150296056,7.19E-04
Crawford County,GA,0.658402255,0.337560672,0.510102887,0.385688049,0.36162436,0.584252571,0.067564562,7.74E-04
Lee County,SC,0.65735825,0.281901748,0.355481648,0.512597951,0.397249849,0.506419949,0.070358146,7.31E-04
Floyd County,IA,0.65733655,0.062477919,0.036886305,0.798965359,0.430721639,0.347111428,0.072982848,6.42E-04
Logan County,ND,0.655778836,0.666666667,0.244205191,0.702380952,0.68452381,0.449992013,0.09288483,6.99E-04
Chase County,KS,0.655459313,0.337083333,0.5289385,0.359583333,0.348333333,0.592198906,0.066522341,7.79E-04
Ness County,KS,0.653181797,0.363636364,0.693862121,0.28030303,0.321969697,0.673521959,0.064455028,8.24E-04
Wayne County,MS,0.647735545,0.17800207,0.395533709,0.267236025,0.222619048,0.521634627,0.056664414,7.39E-04
Crawford County,KS,0.646662522,0.56747078,0.268352355,3.7514518,2.15946129,0.457507439,0.208542545,7.04E-04
Putnam County,MO,0.644688781,0.232687339,0.306904777,0.373874123,0.303280731,0.475796779,0.062989527,7.14E-04
Hanson County,SD,0.64396168,0.212121212,0.008270333,0.590909091,0.401515152,0.326116006,0.070692611,6.30E-04
Frontier County,NE,0.643367907,0.089285714,0.48907184,0.095238095,0.092261905,0.566219874,0.046442415,7.64E-04
White County,IN,0.643175862,0.154414289,0.457505237,1.479169747,0.816792018,0.550340549,0.103256686,7.55E-04
Ringgold County,IA,0.642034826,0.336179982,1.257341126,0.535516857,0.435848419,0.949687976,0.073384866,9.78E-04
Sabine County,TX,0.639980466,0.346527778,0.925523796,0.300694444,0.323611111,0.782752131,0.06458374,8.85E-04
Beaver County,OK,0.63863957,0.388888889,0.644038762,0.388888889,0.388888889,0.641339166,0.069702519,8.06E-04
Fallon County,MT,0.638261187,0.048484848,0.30663933,0.127272727,0.087878788,0.472450259,0.046098711,7.12E-04
Jim Hogg County,TX,0.638251999,0.133333333,-0.031729716,0.24,0.186666667,0.303261141,0.053845196,6.18E-04
Schuyler County,IL,0.637672334,0.264285714,0.353040343,0.135714286,0.2,0.495356339,0.054890734,7.25E-04
Neshoba County,MS,0.637224794,0.393247986,0.320897527,0.597155766,0.495201876,0.479061161,0.078039087,7.16E-04
Colfax County,NE,0.635577605,0.254878049,0.301270706,0.463821138,0.359349593,0.468424156,0.067386185,7.10E-04
Dade County,MO,0.632677091,0.323496093,0.482374649,0.546034557,0.434765325,0.55752587,0.073299935,7.59E-04
Desha County,AR,0.629785684,0.152830189,0.200410352,0.186163522,0.169496855,0.415098018,0.052498819,6.80E-04
Harper County,KS,0.626573575,0.231447124,0.678303189,0.373970315,0.30270872,0.652438382,0.062944672,8.12E-04
Washington County,GA,0.625032491,0.192536869,0.306507873,0.385509127,0.289022998,0.465770182,0.061871502,7.08E-04
Hutchinson County,SD,0.622978189,0.403035178,0.451491592,0.430169455,0.416602317,0.537234891,0.071875677,7.48E-04
Arkansas County,AR,0.620485112,0.2101069,0.452391985,0.391249595,0.300678247,0.536438549,0.062785452,7.48E-04
Washington County,NC,0.618295368,0.345233996,0.388352849,0.570970254,0.458102125,0.503324108,0.075129898,7.29E-04
Ottawa County,OK,0.617459153,0.374126984,0.934934022,0.476507937,0.42531746,0.776196588,0.072559077,8.82E-04
Merrick County,NE,0.617403255,0.31889881,0.443794857,0.245916005,0.282407407,0.530599056,0.061352738,7.44E-04
Worth County,GA,0.616967412,0.284336219,0.179307445,0.564978355,0.424657287,0.398137428,0.07250731,6.71E-04
Traverse County,MN,0.616575525,0.34047619,0.802763635,0.316666667,0.328571429,0.70966958,0.064972705,8.44E-04
Searcy County,AR,0.613848719,0.329073296,0.456525057,0.431648771,0.380361033,0.535186888,0.069033804,7.47E-04
Lawrence County,MS,0.61217073,0.099425287,0.298841005,0.514176245,0.306800766,0.455505867,0.063265551,7.03E-04
Letcher County,KY,0.611729734,0.422311828,0.816194837,0.305376344,0.363844086,0.713962285,0.067738622,8.47E-04
Falls County,TX,0.611013265,0.234727228,0.278289771,0.415500655,0.325113942,0.444651518,0.064701585,6.96E-04
Marshall County,IA,0.610463562,0.419469876,0.191037603,1.964892437,1.192181157,0.400750582,0.13269295,6.72E-04
Clay County,NE,0.610320267,0.540772006,0.151447915,0.606522367,0.573647186,0.380884091,0.084190402,6.61E-04
Bon Homme County,SD,0.606322233,0.32594246,0.540482803,0.305456349,0.315699405,0.573402518,0.063963341,7.68E-04
Glascock County,GA,0.606039488,0,-0.066796504,-0.122222222,-0.061111111,0.269621492,0.034415619,5.99E-04
Boone County,NE,0.604556961,0.142857143,0.530508443,0.642857143,0.392857143,0.567532702,0.070013691,7.65E-04
Crawford County,MI,0.603691963,0.210349902,0.492050013,1.209041627,0.709695765,0.547870988,0.094858697,7.54E-04
Fulton County,KY,0.602046807,0.511378205,0.345807429,0.541048535,0.52621337,0.473927118,0.080470864,7.13E-04
Sussex County,VA,0.60043369,0.228600626,0.33154672,0.42458371,0.326592168,0.465990205,0.064817501,7.08E-04
Box Butte County,NE,0.599317891,0.666666667,0.433166646,0.5,0.583333333,0.516242268,0.084949945,7.36E-04
Jackson County,AR,0.598419748,0.238354475,0.193076309,0.525139686,0.38174708,0.395748028,0.069142492,6.69E-04
Mason County,KY,0.598196587,0.363650794,0.744823332,0.416133787,0.38989229,0.671509959,0.069781201,8.23E-04
Bath County,VA,0.595684073,0.259175377,0.529092841,0.377801974,0.318488676,0.562388457,0.064182063,7.62E-04
Comanche County,OK,0.594886544,0.016190387,0.013185947,7.564079381,3.790134884,0.304036246,0.336412359,6.18E-04
Winn Parish,LA,0.592592593,0,0.592592593,0,0,0.592592593,0.039207667,7.79E-04
Clark County,KS,0.592543893,0.25,0.539603278,0.25,0.25,0.566073586,0.0588115,7.64E-04
Randolph County,IN,0.59016681,0.283006441,0.306588828,0.874535581,0.578771011,0.448377819,0.084592189,6.99E-04
Tyrrell County,NC,0.588216097,0.46077381,0.311523367,0.66875,0.564761905,0.449869732,0.08349366,6.99E-04
Greenlee County,AZ,0.586206897,0,2.770491803,0,0,1.67834935,0.039207667,0.001385107
Cibola County,NM,0.585430986,0.345660499,0.293283117,0.53980657,0.442733535,0.439357052,0.073924765,6.94E-04
Treutlen County,GA,0.585062869,0.041666667,0.804369007,0.125,0.083333333,0.694715938,0.045742278,8.36E-04
Conecuh County,AL,0.582450232,0.217105263,0.434438912,0.370614035,0.293859649,0.508444572,0.062250769,7.32E-04
Union County,KY,0.581775342,1.283139083,0.802133707,1.554040404,1.418589744,0.691954524,0.150446855,8.35E-04
Johnson County,NE,0.581759463,0.343264411,0.259763155,0.461278195,0.402271303,0.420761309,0.070751905,6.83E-04
Morris County,KS,0.579906768,0.213313897,0.594037503,0.262633625,0.237973761,0.586972136,0.057868459,7.76E-04
Wilson County,KS,0.579735837,0.323901644,0.423583369,0.733319161,0.528610402,0.501659603,0.080658828,7.28E-04
Garza County,TX,0.578723912,0.201521164,0.389505707,0.522751323,0.362136243,0.48411481,0.067604701,7.19E-04
St. Helena Parish,LA,0.577983131,0.350483092,0.320092679,0.450241546,0.400362319,0.449037905,0.070602212,6.99E-04
Custer County,ID,0.577656024,0.257116402,0.631133857,0.415886243,0.336501323,0.60439494,0.06559453,7.86E-04
Vinton County,OH,0.57736411,0.299002369,0.572973284,0.620164609,0.459583489,0.575168697,0.07524606,7.69E-04
Knott County,KY,0.577006738,0.381531532,0.383339436,0.390990991,0.386261261,0.480173087,0.069496473,7.16E-04
Emmet County,MI,0.575840238,0.351157372,0.371087409,0.909625554,0.630391463,0.473463823,0.088640024,7.13E-04
Chickasaw County,MS,0.575697989,0.331654135,0.590009061,0.440651629,0.386152882,0.582853525,0.069487974,7.74E-04
New Madrid County,MO,0.573898485,0.285670424,0.62952431,0.663924881,0.474797653,0.601711398,0.076439083,7.84E-04
Irwin County,GA,0.573078237,0.309117413,0.168802078,0.670408163,0.489762788,0.370940157,0.077612579,6.55E-04
Bamberg County,SC,0.571855711,0.370264908,0.516928877,0.596476834,0.483370871,0.544392294,0.077111355,7.52E-04
Sac County,IA,0.568666841,0.268461008,0.336737817,0.329020014,0.298740511,0.452702329,0.062633504,7.01E-04
Liberty County,FL,0.568600064,0.339102564,0.347212553,0.382051282,0.360576923,0.457906309,0.067482427,7.04E-04
Lincoln County,KS,0.566696566,0.785296575,0.270410826,0.712406015,0.748851295,0.418553696,0.097929091,6.82E-04
Allen Parish,LA,0.566589953,0.248706643,0.366566655,0.579695767,0.414201205,0.466578304,0.071687393,7.09E-04
Glades County,FL,0.563585368,0.346021082,0.178883644,0.417824319,0.3819227,0.371234506,0.069156263,6.56E-04
Wayne County,IL,0.562796173,0.282,0.551054819,0.391666667,0.336833333,0.556925496,0.065620565,7.59E-04
Kittson County,MN,0.562207533,0.168981481,0.451975207,0.141203704,0.155092593,0.50709137,0.051369304,7.31E-04
Nantucket County,MA,0.561839279,0.3341391,0.297952382,0.263666146,0.298902623,0.429895831,0.062646216,6.88E-04
Buchanan County,VA,0.561511524,0.284688013,0.620203502,0.359400657,0.322044335,0.590857513,0.064460881,7.78E-04
Kingsbury County,SD,0.561379298,0.144444444,0.569306168,0.086419753,0.115432099,0.565342733,0.048259313,7.64E-04
Murray County,GA,0.561336195,0.150851385,0.421637857,0.566616478,0.358733931,0.491487026,0.067337908,7.23E-04
Moody County,SD,0.559142151,0.236349206,0.525969655,0.311666667,0.274007937,0.542555903,0.060694091,7.51E-04
Roberts County,SD,0.55912639,0.367222222,0.545166526,0.359166667,0.363194444,0.552146458,0.06768768,7.56E-04
Eddy County,NM,0.55744245,0.183724935,0.027327215,2.763944155,1.473834545,0.292384832,0.154778895,6.11E-04
Webster County,NE,0.5570537,0.41025641,0.26591681,0.16025641,0.28525641,0.411485255,0.061576143,6.78E-04
Warren County,MS,0.55490597,0.332584067,0.499611039,1.222812907,0.777698487,0.527258505,0.100191153,7.43E-04
Tripp County,SD,0.554552697,0.094444444,0.198695975,-0.175,-0.040277778,0.376624336,0.036049271,6.59E-04
Covington,VA,0.554477321,0.323706452,0.309660372,0.50536745,0.414536951,0.432068847,0.07171372,6.89E-04
Conejos County,CO,0.554381716,0.28054503,0.562083226,0.346786188,0.313665609,0.558232471,0.06380386,7.60E-04
Union County,IA,0.552726299,0.146786957,0.261597309,0.520745956,0.333766456,0.407161804,0.065380075,6.76E-04
McLean County,KY,0.550668481,0.512989445,0.277887172,0.682384844,0.597687144,0.414277826,0.086075504,6.80E-04
Fayette County,AL,0.549791923,0.285576051,0.458272349,0.368118288,0.32684717,0.504032136,0.064837497,7.30E-04
Gentry County,MO,0.549489962,0.32008719,0.547337709,0.324346076,0.322216633,0.548413835,0.064474392,7.54E-04
Saline County,MO,0.548685242,0.279334929,0.329768249,0.98514713,0.63224103,0.439226745,0.088785058,6.93E-04
Big Horn County,WY,0.548532577,0.421875,0.45070154,0.385416667,0.403645833,0.499617059,0.07085969,7.27E-04
Atoka County,OK,0.547569511,0.46202234,0.331733698,0.513168724,0.487595532,0.439651604,0.077442633,6.94E-04
Jack County,TX,0.547552539,0.255003498,0.539302041,0.488802527,0.371903013,0.54342729,0.068370566,7.52E-04
Warren County,IN,0.546752823,0.404576293,0.49747309,0.688515293,0.546545793,0.522112957,0.082065238,7.40E-04
Clay County,GA,0.544941648,0.25,0.884545268,0.475,0.3625,0.714743458,0.067633225,8.47E-04
